SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1001,2026-09-10,C001,P001,S001,1,55000
1002,2026-09-10,C002,P002,S002,2,800
1003,2026-09-10,C003,P003,S003,1,1500
1004,2026-09-10,C004,P004,S004,1,12000
1005,2026-09-10,C999,P001,S001,1,55000
1006,2026-09-10,C001,P999,S001,1,55000
1007,2026-09-10,C001,P001,S999,1,55000
1008,,C001,P001,S001,1,55000
1009,2026-13-45,C001,P001,S001,1,55000
1010,2026-09-10,C001,P001,S001,0,55000
1011,2026-09-10,C001,P001,S001,-1,55000
1012,2026-09-10,C001,P001,S001,1,0
1013,2026-09-10,C001,P001,S001,1,-500
1001,2026-09-10,C002,P002,S002,2,800
